/usr/local/lib/python3.11/dist-packages/dgl/heterograph.py:92: DGLWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Debug: Dataset photo train_idx: 1123, val_idx: 374, test_idx: 5990
Debug: Dataset photo train_idx: 10, val_idx: 10, test_idx: 10
Dataset: photo | #Nodes: 7487 | #Edges: 238087 | #Classes: 8 |#Features: 745
Exp 0/10
************************************
Start fitting model
************************************
Epoch 00054 | Loss(train) 1.0145 | Acc(train) 0.6492 | Acc(val) 0.8396 |*
Epoch 00055 | Loss(train) 1.0412 | Acc(train) 0.6260 | Acc(val) 0.8396 |
Epoch 00056 | Loss(train) 1.0009 | Acc(train) 0.6394 | Acc(val) 0.8289 |
Epoch 00057 | Loss(train) 1.0392 | Acc(train) 0.6305 | Acc(val) 0.8316 |
Epoch 00058 | Loss(train) 0.9889 | Acc(train) 0.6509 | Acc(val) 0.8102 |
Epoch 00059 | Loss(train) 1.0139 | Acc(train) 0.6474 | Acc(val) 0.8316 |
Epoch 00060 | Loss(train) 0.9695 | Acc(train) 0.6518 | Acc(val) 0.8235 |
Epoch 00061 | Loss(train) 1.0291 | Acc(train) 0.6358 | Acc(val) 0.8021 |
Epoch 00062 | Loss(train) 1.0134 | Acc(train) 0.6331 | Acc(val) 0.8048 |
Epoch 00063 | Loss(train) 0.9829 | Acc(train) 0.6581 | Acc(val) 0.8342 |
Epoch 00064 | Loss(train) 0.9997 | Acc(train) 0.6385 | Acc(val) 0.8235 |
Epoch 00065 | Loss(train) 1.0185 | Acc(train) 0.6313 | Acc(val) 0.8289 |
Epoch 00066 | Loss(train) 0.9304 | Acc(train) 0.6794 | Acc(val) 0.8075 |
Epoch 00067 | Loss(train) 1.0581 | Acc(train) 0.6296 | Acc(val) 0.8342 |
Epoch 00068 | Loss(train) 0.9522 | Acc(train) 0.6589 | Acc(val) 0.8155 |
Epoch 00069 | Loss(train) 0.9929 | Acc(train) 0.6581 | Acc(val) 0.8369 |
Epoch 00070 | Loss(train) 0.9233 | Acc(train) 0.6803 | Acc(val) 0.8422 |*
Epoch 00071 | Loss(train) 0.9628 | Acc(train) 0.6634 | Acc(val) 0.8449 |*
Epoch 00072 | Loss(train) 0.8949 | Acc(train) 0.6732 | Acc(val) 0.8422 |
Epoch 00073 | Loss(train) 0.9198 | Acc(train) 0.6714 | Acc(val) 0.8316 |
Epoch 00074 | Loss(train) 1.0147 | Acc(train) 0.6385 | Acc(val) 0.8316 |
Epoch 00075 | Loss(train) 0.8768 | Acc(train) 0.6883 | Acc(val) 0.8396 |
Epoch 00076 | Loss(train) 0.8722 | Acc(train) 0.6874 | Acc(val) 0.8102 |
Epoch 00077 | Loss(train) 0.9977 | Acc(train) 0.6536 | Acc(val) 0.7995 |
Epoch 00078 | Loss(train) 0.9752 | Acc(train) 0.6589 | Acc(val) 0.8316 |
Epoch 00079 | Loss(train) 0.9056 | Acc(train) 0.6598 | Acc(val) 0.8289 |
Epoch 00080 | Loss(train) 0.9488 | Acc(train) 0.6589 | Acc(val) 0.8396 |
Epoch 00081 | Loss(train) 0.8657 | Acc(train) 0.6910 | Acc(val) 0.8449 |
Epoch 00082 | Loss(train) 0.8778 | Acc(train) 0.6830 | Acc(val) 0.8449 |
Epoch 00083 | Loss(train) 0.9201 | Acc(train) 0.6732 | Acc(val) 0.8396 |
Epoch 00084 | Loss(train) 0.8420 | Acc(train) 0.7044 | Acc(val) 0.8503 |*
Epoch 00085 | Loss(train) 0.8330 | Acc(train) 0.7035 | Acc(val) 0.8476 |
Epoch 00086 | Loss(train) 0.8741 | Acc(train) 0.6928 | Acc(val) 0.8422 |
Epoch 00087 | Loss(train) 0.8663 | Acc(train) 0.6910 | Acc(val) 0.8422 |
Epoch 00088 | Loss(train) 0.8663 | Acc(train) 0.6990 | Acc(val) 0.8422 |
Epoch 00089 | Loss(train) 0.8598 | Acc(train) 0.6848 | Acc(val) 0.8316 |
Epoch 00090 | Loss(train) 0.8732 | Acc(train) 0.6776 | Acc(val) 0.8369 |
Epoch 00091 | Loss(train) 0.8132 | Acc(train) 0.7168 | Acc(val) 0.8449 |
Epoch 00092 | Loss(train) 0.8795 | Acc(train) 0.7026 | Acc(val) 0.8476 |
Epoch 00093 | Loss(train) 0.8329 | Acc(train) 0.7044 | Acc(val) 0.8476 |
Epoch 00094 | Loss(train) 0.7864 | Acc(train) 0.7231 | Acc(val) 0.8422 |
Epoch 00095 | Loss(train) 0.7954 | Acc(train) 0.7186 | Acc(val) 0.8476 |
Epoch 00096 | Loss(train) 0.8187 | Acc(train) 0.7115 | Acc(val) 0.8449 |
Epoch 00097 | Loss(train) 0.8213 | Acc(train) 0.7053 | Acc(val) 0.8503 |
Epoch 00098 | Loss(train) 0.8067 | Acc(train) 0.7186 | Acc(val) 0.8316 |
Epoch 00099 | Loss(train) 0.8006 | Acc(train) 0.7142 | Acc(val) 0.8503 |
Epoch 00100 | Loss(train) 0.7922 | Acc(train) 0.7284 | Acc(val) 0.8449 |
Epoch 00101 | Loss(train) 0.8343 | Acc(train) 0.7008 | Acc(val) 0.8476 |
Epoch 00102 | Loss(train) 0.8446 | Acc(train) 0.7070 | Acc(val) 0.8449 |
Epoch 00103 | Loss(train) 0.8042 | Acc(train) 0.7266 | Acc(val) 0.8422 |
Epoch 00104 | Loss(train) 0.8430 | Acc(train) 0.7035 | Acc(val) 0.8610 |*
Epoch 00105 | Loss(train) 0.8217 | Acc(train) 0.7035 | Acc(val) 0.8396 |
Epoch 00106 | Loss(train) 0.8015 | Acc(train) 0.7177 | Acc(val) 0.8422 |
Epoch 00107 | Loss(train) 0.7999 | Acc(train) 0.7266 | Acc(val) 0.8449 |
Epoch 00108 | Loss(train) 0.8038 | Acc(train) 0.7079 | Acc(val) 0.8476 |
Epoch 00109 | Loss(train) 0.7834 | Acc(train) 0.7266 | Acc(val) 0.8476 |
Epoch 00110 | Loss(train) 0.7854 | Acc(train) 0.7222 | Acc(val) 0.8449 |
Epoch 00111 | Loss(train) 0.8278 | Acc(train) 0.7150 | Acc(val) 0.8449 |
Epoch 00112 | Loss(train) 0.7538 | Acc(train) 0.7373 | Acc(val) 0.8449 |
Epoch 00113 | Loss(train) 0.8173 | Acc(train) 0.6928 | Acc(val) 0.8476 |
Epoch 00114 | Loss(train) 0.7648 | Acc(train) 0.7293 | Acc(val) 0.8449 |
Epoch 00115 | Loss(train) 0.8369 | Acc(train) 0.7026 | Acc(val) 0.8449 |
Epoch 00116 | Loss(train) 0.7898 | Acc(train) 0.7302 | Acc(val) 0.8476 |
Epoch 00117 | Loss(train) 0.7697 | Acc(train) 0.7222 | Acc(val) 0.8449 |
Epoch 00118 | Loss(train) 0.8217 | Acc(train) 0.7275 | Acc(val) 0.8503 |
Epoch 00119 | Loss(train) 0.7538 | Acc(train) 0.7391 | Acc(val) 0.8529 |
Epoch 00120 | Loss(train) 0.8160 | Acc(train) 0.7186 | Acc(val) 0.8476 |
Epoch 00121 | Loss(train) 0.8167 | Acc(train) 0.7186 | Acc(val) 0.8529 |
Epoch 00122 | Loss(train) 0.7696 | Acc(train) 0.7364 | Acc(val) 0.8503 |
Epoch 00123 | Loss(train) 0.7919 | Acc(train) 0.7213 | Acc(val) 0.8529 |
Epoch 00124 | Loss(train) 0.7888 | Acc(train) 0.7346 | Acc(val) 0.8503 |
Epoch 00125 | Loss(train) 0.7886 | Acc(train) 0.7204 | Acc(val) 0.8476 |
Epoch 00126 | Loss(train) 0.7739 | Acc(train) 0.7391 | Acc(val) 0.8529 |
Epoch 00127 | Loss(train) 0.7516 | Acc(train) 0.7337 | Acc(val) 0.8503 |
Epoch 00128 | Loss(train) 0.7631 | Acc(train) 0.7400 | Acc(val) 0.8529 |
Epoch 00129 | Loss(train) 0.7982 | Acc(train) 0.7489 | Acc(val) 0.8476 |
Epoch 00130 | Loss(train) 0.7679 | Acc(train) 0.7329 | Acc(val) 0.8476 |
Epoch 00131 | Loss(train) 0.7900 | Acc(train) 0.7222 | Acc(val) 0.8583 |
Epoch 00132 | Loss(train) 0.7526 | Acc(train) 0.7400 | Acc(val) 0.8529 |
Epoch 00133 | Loss(train) 0.7643 | Acc(train) 0.7346 | Acc(val) 0.8529 |
Epoch 00134 | Loss(train) 0.8084 | Acc(train) 0.6919 | Acc(val) 0.8529 |
Epoch 00135 | Loss(train) 0.8038 | Acc(train) 0.7462 | Acc(val) 0.8529 |
Epoch 00136 | Loss(train) 0.7878 | Acc(train) 0.7329 | Acc(val) 0.8529 |
Epoch 00137 | Loss(train) 0.7449 | Acc(train) 0.7373 | Acc(val) 0.8529 |
Epoch 00138 | Loss(train) 0.7232 | Acc(train) 0.7676 | Acc(val) 0.8529 |
Epoch 00139 | Loss(train) 0.7337 | Acc(train) 0.7507 | Acc(val) 0.8503 |
Epoch 00140 | Loss(train) 0.7381 | Acc(train) 0.7542 | Acc(val) 0.8476 |
Epoch 00141 | Loss(train) 0.7407 | Acc(train) 0.7489 | Acc(val) 0.8503 |
Epoch 00142 | Loss(train) 0.7433 | Acc(train) 0.7480 | Acc(val) 0.8529 |
Epoch 00143 | Loss(train) 0.7578 | Acc(train) 0.7498 | Acc(val) 0.8529 |
Epoch 00144 | Loss(train) 0.7885 | Acc(train) 0.7275 | Acc(val) 0.8583 |
Epoch 00145 | Loss(train) 0.8101 | Acc(train) 0.7427 | Acc(val) 0.8556 |
Epoch 00146 | Loss(train) 0.7129 | Acc(train) 0.7498 | Acc(val) 0.8556 |
Epoch 00147 | Loss(train) 0.7356 | Acc(train) 0.7587 | Acc(val) 0.8529 |
Epoch 00148 | Loss(train) 0.7787 | Acc(train) 0.7320 | Acc(val) 0.8556 |
Epoch 00149 | Loss(train) 0.7066 | Acc(train) 0.7480 | Acc(val) 0.8610 |
Epoch 00150 | Loss(train) 0.7099 | Acc(train) 0.7605 | Acc(val) 0.8610 |
Epoch 00151 | Loss(train) 0.7396 | Acc(train) 0.7471 | Acc(val) 0.8743 |*
Epoch 00152 | Loss(train) 0.7248 | Acc(train) 0.7382 | Acc(val) 0.8636 |
Epoch 00153 | Loss(train) 0.7236 | Acc(train) 0.7569 | Acc(val) 0.8636 |
Epoch 00154 | Loss(train) 0.7393 | Acc(train) 0.7337 | Acc(val) 0.8663 |
Epoch 00155 | Loss(train) 0.7380 | Acc(train) 0.7400 | Acc(val) 0.8636 |
Epoch 00156 | Loss(train) 0.7232 | Acc(train) 0.7569 | Acc(val) 0.8663 |
Epoch 00157 | Loss(train) 0.7181 | Acc(train) 0.7631 | Acc(val) 0.8743 |
Epoch 00158 | Loss(train) 0.7465 | Acc(train) 0.7444 | Acc(val) 0.8636 |
Epoch 00159 | Loss(train) 0.7923 | Acc(train) 0.7578 | Acc(val) 0.8476 |
Epoch 00160 | Loss(train) 0.7324 | Acc(train) 0.7257 | Acc(val) 0.8610 |
Epoch 00161 | Loss(train) 0.7500 | Acc(train) 0.7462 | Acc(val) 0.8797 |*
Epoch 00162 | Loss(train) 0.8509 | Acc(train) 0.7382 | Acc(val) 0.8930 |*
Epoch 00163 | Loss(train) 0.7711 | Acc(train) 0.7311 | Acc(val) 0.8957 |*
Epoch 00164 | Loss(train) 0.7552 | Acc(train) 0.7489 | Acc(val) 0.8583 |
Epoch 00165 | Loss(train) 0.7317 | Acc(train) 0.7507 | Acc(val) 0.8449 |
Epoch 00166 | Loss(train) 0.7538 | Acc(train) 0.7293 | Acc(val) 0.8636 |
Epoch 00167 | Loss(train) 0.7217 | Acc(train) 0.7427 | Acc(val) 0.8610 |
Epoch 00168 | Loss(train) 0.7609 | Acc(train) 0.7444 | Acc(val) 0.8797 |
Epoch 00169 | Loss(train) 0.7371 | Acc(train) 0.7462 | Acc(val) 0.8610 |
Epoch 00170 | Loss(train) 0.7221 | Acc(train) 0.7631 | Acc(val) 0.8529 |
Epoch 00171 | Loss(train) 0.7365 | Acc(train) 0.7471 | Acc(val) 0.8556 |
Epoch 00172 | Loss(train) 0.7836 | Acc(train) 0.7293 | Acc(val) 0.8610 |
Epoch 00173 | Loss(train) 0.7338 | Acc(train) 0.7507 | Acc(val) 0.8663 |
Epoch 00174 | Loss(train) 0.7623 | Acc(train) 0.7364 | Acc(val) 0.8743 |
Epoch 00175 | Loss(train) 0.8032 | Acc(train) 0.7222 | Acc(val) 0.8610 |
Epoch 00176 | Loss(train) 0.6941 | Acc(train) 0.7658 | Acc(val) 0.8556 |
Epoch 00177 | Loss(train) 0.7015 | Acc(train) 0.7685 | Acc(val) 0.8583 |
Epoch 00178 | Loss(train) 0.7283 | Acc(train) 0.7542 | Acc(val) 0.8717 |
Epoch 00179 | Loss(train) 0.7139 | Acc(train) 0.7507 | Acc(val) 0.8743 |
Epoch 00180 | Loss(train) 0.7185 | Acc(train) 0.7658 | Acc(val) 0.8690 |
Epoch 00181 | Loss(train) 0.7790 | Acc(train) 0.7480 | Acc(val) 0.8610 |
Epoch 00182 | Loss(train) 0.6927 | Acc(train) 0.7747 | Acc(val) 0.8503 |
Epoch 00183 | Loss(train) 0.7531 | Acc(train) 0.7266 | Acc(val) 0.8583 |
Epoch 00184 | Loss(train) 0.6881 | Acc(train) 0.7631 | Acc(val) 0.8610 |
Epoch 00185 | Loss(train) 0.7535 | Acc(train) 0.7391 | Acc(val) 0.8717 |
Epoch 00186 | Loss(train) 0.7376 | Acc(train) 0.7453 | Acc(val) 0.8636 |
Epoch 00187 | Loss(train) 0.7374 | Acc(train) 0.7418 | Acc(val) 0.8556 |
Epoch 00188 | Loss(train) 0.8059 | Acc(train) 0.7284 | Acc(val) 0.8610 |
Epoch 00189 | Loss(train) 0.7385 | Acc(train) 0.7542 | Acc(val) 0.8797 |
Epoch 00190 | Loss(train) 0.7188 | Acc(train) 0.7676 | Acc(val) 0.8770 |
Epoch 00191 | Loss(train) 0.7396 | Acc(train) 0.7658 | Acc(val) 0.8824 |
Epoch 00192 | Loss(train) 0.7248 | Acc(train) 0.7756 | Acc(val) 0.8850 |
Epoch 00193 | Loss(train) 0.6711 | Acc(train) 0.7685 | Acc(val) 0.8850 |
Epoch 00194 | Loss(train) 0.6899 | Acc(train) 0.7569 | Acc(val) 0.8904 |
Epoch 00195 | Loss(train) 0.7130 | Acc(train) 0.7622 | Acc(val) 0.8850 |
Epoch 00196 | Loss(train) 0.6752 | Acc(train) 0.7622 | Acc(val) 0.8690 |
Epoch 00197 | Loss(train) 0.6951 | Acc(train) 0.7533 | Acc(val) 0.8663 |
Epoch 00198 | Loss(train) 0.6877 | Acc(train) 0.7774 | Acc(val) 0.8824 |
Epoch 00199 | Loss(train) 0.7065 | Acc(train) 0.7480 | Acc(val) 0.8877 |
Epoch 00200 | Loss(train) 0.7314 | Acc(train) 0.7533 | Acc(val) 0.8824 |
************************************
Start fitting calibration
************************************
Calibration model configuration
Namespace(calibration={'epochs': 1000, 'patience': 50, 'cal_lr': 0.01, 'cal_weight_decay': 0, 'num_bin': 10, 'calibrator_name': 'CaGCN', 'dist_to_train': None, 'heads': 2, 'bias': 1, 'cal_dropout': 0.4, 'cal_hidden_dim': 32}, gnn={'type': 'gcnii', 'num_layer': 16, 'hid_dim': 64, 'dropout': 0.8, 'norm': None, 'in_dim': 745, 'out_dim': 8}, train={'epochs': 200, 'lr': 0.01, 'weight_decay': 0.001, 'patience': 50})
************************************
************************************
GPU memory allowcation
GPU Memory Allocated: 98.85 MB
GPU Memory Reserved: 222.00 MB
Exp 2/10
************************************
Start fitting model
************************************
Epoch 00001 | Loss(train) 2.1591 | Acc(train) 0.1095 | Acc(val) 0.3422 |*
Epoch 00002 | Loss(train) 2.3990 | Acc(train) 0.2476 | Acc(val) 0.3663 |*
Epoch 00003 | Loss(train) 2.0462 | Acc(train) 0.1977 | Acc(val) 0.3155 |
Epoch 00004 | Loss(train) 1.9765 | Acc(train) 0.2600 | Acc(val) 0.2701 |
Epoch 00005 | Loss(train) 2.0000 | Acc(train) 0.2725 | Acc(val) 0.3904 |*
Epoch 00006 | Loss(train) 1.9711 | Acc(train) 0.2627 | Acc(val) 0.4305 |*
Epoch 00007 | Loss(train) 1.9758 | Acc(train) 0.2235 | Acc(val) 0.4037 |
Epoch 00008 | Loss(train) 1.9099 | Acc(train) 0.2449 | Acc(val) 0.4011 |
Epoch 00009 | Loss(train) 1.9077 | Acc(train) 0.2671 | Acc(val) 0.4037 |
Epoch 00010 | Loss(train) 1.8798 | Acc(train) 0.3072 | Acc(val) 0.4144 |
Epoch 00011 | Loss(train) 1.8559 | Acc(train) 0.2930 | Acc(val) 0.4064 |
Epoch 00012 | Loss(train) 1.8555 | Acc(train) 0.2965 | Acc(val) 0.4118 |
Epoch 00013 | Loss(train) 1.8179 | Acc(train) 0.3348 | Acc(val) 0.4171 |
Epoch 00014 | Loss(train) 1.7701 | Acc(train) 0.3580 | Acc(val) 0.4064 |
Epoch 00015 | Loss(train) 1.7559 | Acc(train) 0.3508 | Acc(val) 0.4091 |
Epoch 00016 | Loss(train) 1.7216 | Acc(train) 0.3687 | Acc(val) 0.4278 |
Epoch 00017 | Loss(train) 1.7573 | Acc(train) 0.3553 | Acc(val) 0.5160 |*
Epoch 00018 | Loss(train) 1.6744 | Acc(train) 0.3793 | Acc(val) 0.5401 |*
Epoch 00019 | Loss(train) 1.6705 | Acc(train) 0.3909 | Acc(val) 0.5267 |
Epoch 00020 | Loss(train) 1.6440 | Acc(train) 0.3972 | Acc(val) 0.5187 |
Epoch 00021 | Loss(train) 1.6086 | Acc(train) 0.4159 | Acc(val) 0.5267 |
Epoch 00022 | Loss(train) 1.6034 | Acc(train) 0.4150 | Acc(val) 0.5856 |*
Epoch 00023 | Loss(train) 1.5808 | Acc(train) 0.4096 | Acc(val) 0.6150 |*
Epoch 00024 | Loss(train) 1.5629 | Acc(train) 0.4221 | Acc(val) 0.6578 |*
Epoch 00025 | Loss(train) 1.5167 | Acc(train) 0.4541 | Acc(val) 0.6631 |*
Epoch 00026 | Loss(train) 1.4642 | Acc(train) 0.4630 | Acc(val) 0.6497 |
Epoch 00027 | Loss(train) 1.4890 | Acc(train) 0.4354 | Acc(val) 0.6471 |
Epoch 00028 | Loss(train) 1.4458 | Acc(train) 0.4853 | Acc(val) 0.7005 |*
Epoch 00029 | Loss(train) 1.4121 | Acc(train) 0.4853 | Acc(val) 0.6952 |
Epoch 00030 | Loss(train) 1.3577 | Acc(train) 0.4960 | Acc(val) 0.6818 |
Epoch 00031 | Loss(train) 1.3409 | Acc(train) 0.5120 | Acc(val) 0.6578 |
Epoch 00032 | Loss(train) 1.3321 | Acc(train) 0.5004 | Acc(val) 0.7380 |*
Epoch 00033 | Loss(train) 1.2568 | Acc(train) 0.5467 | Acc(val) 0.7513 |*
Epoch 00034 | Loss(train) 1.2669 | Acc(train) 0.5414 | Acc(val) 0.7487 |
Epoch 00035 | Loss(train) 1.1971 | Acc(train) 0.5779 | Acc(val) 0.7353 |
Epoch 00036 | Loss(train) 1.2346 | Acc(train) 0.5503 | Acc(val) 0.7540 |*
Epoch 00037 | Loss(train) 1.1653 | Acc(train) 0.5592 | Acc(val) 0.7594 |*
Epoch 00038 | Loss(train) 1.1518 | Acc(train) 0.5895 | Acc(val) 0.7620 |*
Epoch 00039 | Loss(train) 1.1352 | Acc(train) 0.5966 | Acc(val) 0.7834 |*
Epoch 00040 | Loss(train) 1.0913 | Acc(train) 0.5975 | Acc(val) 0.7861 |*
Epoch 00041 | Loss(train) 1.0968 | Acc(train) 0.5984 | Acc(val) 0.7647 |
Epoch 00042 | Loss(train) 1.0917 | Acc(train) 0.5868 | Acc(val) 0.7674 |
Epoch 00043 | Loss(train) 1.0329 | Acc(train) 0.6180 | Acc(val) 0.7513 |
Epoch 00044 | Loss(train) 1.1292 | Acc(train) 0.5877 | Acc(val) 0.7861 |
Epoch 00045 | Loss(train) 1.0104 | Acc(train) 0.6171 | Acc(val) 0.7701 |
Epoch 00046 | Loss(train) 1.0086 | Acc(train) 0.6287 | Acc(val) 0.7888 |*
Epoch 00047 | Loss(train) 1.0160 | Acc(train) 0.6358 | Acc(val) 0.7914 |*
Epoch 00048 | Loss(train) 1.0166 | Acc(train) 0.6305 | Acc(val) 0.7754 |
Epoch 00049 | Loss(train) 1.0076 | Acc(train) 0.6287 | Acc(val) 0.7701 |
Epoch 00050 | Loss(train) 1.0158 | Acc(train) 0.6251 | Acc(val) 0.7888 |
Epoch 00051 | Loss(train) 0.9703 | Acc(train) 0.6322 | Acc(val) 0.8209 |*
Epoch 00052 | Loss(train) 0.9623 | Acc(train) 0.6483 | Acc(val) 0.8209 |
Epoch 00053 | Loss(train) 0.9766 | Acc(train) 0.6358 | Acc(val) 0.7807 |
Epoch 00054 | Loss(train) 0.9497 | Acc(train) 0.6367 | Acc(val) 0.7781 |
Epoch 00055 | Loss(train) 0.9623 | Acc(train) 0.6411 | Acc(val) 0.8155 |
Epoch 00056 | Loss(train) 0.9601 | Acc(train) 0.6509 | Acc(val) 0.8155 |
Epoch 00057 | Loss(train) 0.9412 | Acc(train) 0.6714 | Acc(val) 0.8155 |
Epoch 00058 | Loss(train) 0.9562 | Acc(train) 0.6589 | Acc(val) 0.7941 |
Epoch 00059 | Loss(train) 0.8905 | Acc(train) 0.6741 | Acc(val) 0.7941 |
Epoch 00060 | Loss(train) 0.8985 | Acc(train) 0.6607 | Acc(val) 0.8128 |
Epoch 00061 | Loss(train) 0.9024 | Acc(train) 0.6687 | Acc(val) 0.8209 |
Epoch 00062 | Loss(train) 0.8846 | Acc(train) 0.6874 | Acc(val) 0.8235 |*
Epoch 00063 | Loss(train) 0.8991 | Acc(train) 0.6598 | Acc(val) 0.8262 |*
Epoch 00064 | Loss(train) 0.9057 | Acc(train) 0.6563 | Acc(val) 0.8449 |*
Epoch 00065 | Loss(train) 0.9237 | Acc(train) 0.6723 | Acc(val) 0.8155 |
Epoch 00066 | Loss(train) 0.8945 | Acc(train) 0.6785 | Acc(val) 0.7941 |
Epoch 00067 | Loss(train) 0.8752 | Acc(train) 0.6830 | Acc(val) 0.8155 |
Epoch 00068 | Loss(train) 0.8643 | Acc(train) 0.6839 | Acc(val) 0.8209 |
Epoch 00069 | Loss(train) 0.8246 | Acc(train) 0.6972 | Acc(val) 0.8262 |
Epoch 00070 | Loss(train) 0.8732 | Acc(train) 0.6848 | Acc(val) 0.8556 |*
Epoch 00071 | Loss(train) 0.8767 | Acc(train) 0.7008 | Acc(val) 0.8503 |
Epoch 00072 | Loss(train) 0.8949 | Acc(train) 0.7008 | Acc(val) 0.8235 |
Epoch 00073 | Loss(train) 0.8668 | Acc(train) 0.6848 | Acc(val) 0.8262 |
Epoch 00074 | Loss(train) 0.8784 | Acc(train) 0.6741 | Acc(val) 0.8235 |
Epoch 00075 | Loss(train) 0.8418 | Acc(train) 0.6937 | Acc(val) 0.8316 |
Epoch 00076 | Loss(train) 0.8314 | Acc(train) 0.7150 | Acc(val) 0.8476 |
Epoch 00077 | Loss(train) 0.8546 | Acc(train) 0.7035 | Acc(val) 0.8369 |
Epoch 00078 | Loss(train) 0.8316 | Acc(train) 0.6999 | Acc(val) 0.8262 |
Epoch 00079 | Loss(train) 0.8346 | Acc(train) 0.6955 | Acc(val) 0.8262 |
Epoch 00080 | Loss(train) 0.8178 | Acc(train) 0.7061 | Acc(val) 0.8235 |
Epoch 00081 | Loss(train) 0.8578 | Acc(train) 0.6990 | Acc(val) 0.8369 |
Epoch 00082 | Loss(train) 0.8371 | Acc(train) 0.7053 | Acc(val) 0.8396 |
Epoch 00083 | Loss(train) 0.8837 | Acc(train) 0.6821 | Acc(val) 0.8797 |*
Epoch 00084 | Loss(train) 0.7810 | Acc(train) 0.7097 | Acc(val) 0.8770 |
Epoch 00085 | Loss(train) 0.8251 | Acc(train) 0.6963 | Acc(val) 0.8636 |
Epoch 00086 | Loss(train) 0.8304 | Acc(train) 0.7133 | Acc(val) 0.8342 |
Epoch 00087 | Loss(train) 0.9157 | Acc(train) 0.6679 | Acc(val) 0.8503 |
Epoch 00088 | Loss(train) 0.8311 | Acc(train) 0.6955 | Acc(val) 0.8102 |
Epoch 00089 | Loss(train) 0.8953 | Acc(train) 0.6928 | Acc(val) 0.8610 |
Epoch 00090 | Loss(train) 0.8164 | Acc(train) 0.7097 | Acc(val) 0.8449 |
Epoch 00091 | Loss(train) 0.8721 | Acc(train) 0.6803 | Acc(val) 0.8610 |
Epoch 00092 | Loss(train) 0.8607 | Acc(train) 0.7266 | Acc(val) 0.8503 |
Epoch 00093 | Loss(train) 0.8127 | Acc(train) 0.7124 | Acc(val) 0.8369 |
Epoch 00094 | Loss(train) 0.8210 | Acc(train) 0.7070 | Acc(val) 0.8289 |
Epoch 00095 | Loss(train) 0.8263 | Acc(train) 0.6963 | Acc(val) 0.8209 |
Epoch 00096 | Loss(train) 0.8130 | Acc(train) 0.7222 | Acc(val) 0.8342 |
Epoch 00097 | Loss(train) 0.8185 | Acc(train) 0.7053 | Acc(val) 0.8449 |
Epoch 00098 | Loss(train) 0.8125 | Acc(train) 0.7240 | Acc(val) 0.8770 |
Epoch 00099 | Loss(train) 0.8093 | Acc(train) 0.7124 | Acc(val) 0.8690 |
Epoch 00100 | Loss(train) 0.8186 | Acc(train) 0.7079 | Acc(val) 0.8449 |
Epoch 00101 | Loss(train) 0.8166 | Acc(train) 0.7097 | Acc(val) 0.8529 |
Epoch 00102 | Loss(train) 0.7698 | Acc(train) 0.7337 | Acc(val) 0.8636 |
Epoch 00103 | Loss(train) 0.7587 | Acc(train) 0.7400 | Acc(val) 0.8770 |
Epoch 00104 | Loss(train) 0.7412 | Acc(train) 0.7498 | Acc(val) 0.8824 |*
Epoch 00105 | Loss(train) 0.7675 | Acc(train) 0.7391 | Acc(val) 0.8663 |
Epoch 00106 | Loss(train) 0.7701 | Acc(train) 0.7346 | Acc(val) 0.8717 |
Epoch 00107 | Loss(train) 0.7787 | Acc(train) 0.7320 | Acc(val) 0.8797 |
Epoch 00108 | Loss(train) 0.7434 | Acc(train) 0.7320 | Acc(val) 0.8717 |
Epoch 00109 | Loss(train) 0.7826 | Acc(train) 0.7293 | Acc(val) 0.8797 |
Epoch 00110 | Loss(train) 0.7803 | Acc(train) 0.7293 | Acc(val) 0.8850 |*
Epoch 00111 | Loss(train) 0.7457 | Acc(train) 0.7329 | Acc(val) 0.8824 |
Epoch 00112 | Loss(train) 0.8026 | Acc(train) 0.7373 | Acc(val) 0.8797 |
Epoch 00113 | Loss(train) 0.7579 | Acc(train) 0.7311 | Acc(val) 0.8957 |*
Epoch 00114 | Loss(train) 0.6875 | Acc(train) 0.7516 | Acc(val) 0.8957 |
Epoch 00115 | Loss(train) 0.7924 | Acc(train) 0.7444 | Acc(val) 0.8797 |
Epoch 00116 | Loss(train) 0.7538 | Acc(train) 0.7266 | Acc(val) 0.8877 |
Epoch 00117 | Loss(train) 0.7142 | Acc(train) 0.7507 | Acc(val) 0.8904 |
Epoch 00118 | Loss(train) 0.7471 | Acc(train) 0.7409 | Acc(val) 0.8904 |
Epoch 00119 | Loss(train) 0.7467 | Acc(train) 0.7444 | Acc(val) 0.8797 |
Epoch 00120 | Loss(train) 0.7494 | Acc(train) 0.7302 | Acc(val) 0.8770 |
Epoch 00121 | Loss(train) 0.7359 | Acc(train) 0.7320 | Acc(val) 0.8770 |
Epoch 00122 | Loss(train) 0.7239 | Acc(train) 0.7480 | Acc(val) 0.9011 |*
Epoch 00123 | Loss(train) 0.7047 | Acc(train) 0.7542 | Acc(val) 0.9011 |
Epoch 00124 | Loss(train) 0.7346 | Acc(train) 0.7382 | Acc(val) 0.8957 |
Epoch 00125 | Loss(train) 0.7289 | Acc(train) 0.7489 | Acc(val) 0.9064 |*
